ClaimNb,Exposure,VehPower,VehAge,DrivAge,BonusMalus,VehBrand,VehGas,Density,Region
0,1.0,4,9,35,50,B5,Regular,43,R24
0,0.37,10,16,38,51,B1,Regular,138,R82
0,0.58,6,17,42,52,B2,Regular,48,R24
0,0.21,4,11,51,50,B3,Regular,4059,R23
0,0.75,11,1,80,50,B10,Regular,658,R93
0,0.08,4,0,57,72,B12,Regular,3317,R93
0,1.0,7,1,54,50,B2,Diesel,59,R24
0,0.47,7,12,40,90,B4,Regular,451,R52
0,1.0,6,8,40,58,B2,Diesel,68,R53
0,1.0,7,5,56,50,B12,Regular,1448,R93
0,1.0,5,16,42,50,B2,Diesel,122,R82
2,1.0,7,1,50,50,B3,Regular,511,R24
0,1.0,6,6,69,50,B1,Diesel,634,R53
0,0.74,4,4,28,68,B12,Diesel,8455,R82
0,0.08,8,13,41,50,B1,Regular,83,R22
0,0.07,7,15,49,80,B1,Regular,233,R93
0,1.0,6,9,42,50,B3,Diesel,1054,R24
0,0.44,7,17,21,95,B11,Regular,1313,R24
0,0.21,7,10,47,50,B2,Diesel,405,R24
0,1.0,5,4,58,50,B2,Diesel,1535,R72
0,1.0,5,15,29,57,B5,Diesel,8549,R82
0,1.0,6,8,33,57,B3,Diesel,82,R82
0,0.08,6,8,35,50,B2,Diesel,21,R73
0,1.0,7,8,55,50,B3,Diesel,9307,R82
0,0.13,8,5,38,64,B10,Diesel,1629,R93
0,0.12,10,4,67,50,B12,Regular,1662,R11
0,0.08,9,11,33,50,B12,Regular,179,R53
0,0.26,7,1,43,50,B12,Diesel,579,R82
0,1.0,7,7,53,50,B2,Regular,119,R82
0,0.48,7,1,53,50,B12,Diesel,562,R54
0,0.14,8,13,46,68,B6,Diesel,1381,R82
1,0.06,4,0,52,55,B12,Regular,5433,R93
0,0.06,6,8,66,60,B1,Diesel,745,R82
0,1.0,6,22,58,50,B1,Regular,44,R24
0,1.0,7,8,40,50,B1,Regular,22,R24
1,0.08,6,2,49,95,B3,Diesel,824,R91
0,0.26,5,1,24,95,B2,Diesel,15,R94
0,0.29,5,6,28,60,B5,Regular,776,R41
0,0.16,4,3,45,50,B1,Regular,53,R24
0,0.34,14,10,31,80,B1,Regular,4116,R24
0,0.75,6,15,28,57,B2,Diesel,27,R24
0,0.08,9,8,45,50,B2,Regular,160,R23
0,0.41,6,2,54,50,B12,Regular,27000,R11
0,1.0,10,11,40,58,B2,Diesel,522,R52
1,1.0,6,6,44,62,B13,Diesel,10,R24
0,0.37,6,1,46,76,B12,Regular,6681,R11
0,0.1,6,8,25,76,B2,Diesel,186,R24
0,0.02,5,15,54,64,B2,Diesel,979,R42
0,1.0,5,1,47,50,B2,Diesel,35,R24
0,1.0,4,12,61,50,B2,Regular,28,R24
0,1.0,6,8,59,90,B2,Diesel,144,R82
0,0.46,10,2,58,50,B1,Diesel,112,R82
0,0.16,6,6,31,64,B3,Diesel,125,R53
0,0.05,7,0,39,51,B1,Regular,276,R82
0,0.8,5,20,45,50,B3,Diesel,3457,R82
0,0.12,4,14,63,90,B2,Regular,4762,R93
0,0.08,5,13,39,50,B5,Regular,152,R91
0,0.03,8,0,60,50,B12,Diesel,32,R11
0,1.0,12,7,39,55,B11,Regular,259,R24
0,0.09,10,10,60,50,B4,Regular,5877,R11
0,0.24,6,15,39,50,B6,Diesel,1101,R93
0,0.29,5,1,33,57,B12,Regular,2472,R82
0,0.74,9,13,40,51,B1,Regular,178,R82
0,0.24,7,8,35,54,B14,Diesel,181,R91
0,0.88,6,2,47,50,B1,Diesel,113,R82
0,0.31,9,10,28,60,B11,Regular,24,R24
0,1.0,11,4,53,50,B14,Diesel,796,R25
0,1.0,5,6,41,50,B1,Diesel,169,R82
0,1.0,6,12,41,50,B4,Regular,10,R82
0,0.01,5,7,32,76,B1,Regular,139,R24
0,1.0,6,1,60,50,B1,Diesel,1313,R24
0,0.41,6,7,62,80,B1,Diesel,51,R93
0,0.4,7,19,64,68,B3,Regular,5449,R82
0,1.0,5,10,35,54,B5,Diesel,722,R53
0,0.24,4,6,76,50,B1,Regular,48,R82
0,0.36,5,2,30,54,B2,Diesel,828,R93
0,0.78,5,3,58,50,B12,Diesel,48,R83
0,0.57,6,12,36,76,B1,Diesel,3317,R93
0,0.49,4,11,61,50,B1,Regular,75,R93
0,1.0,6,12,44,50,B2,Diesel,197,R52
1,1.0,7,7,82,62,B13,Regular,821,R24
0,1.0,5,19,81,50,B2,Regular,4116,R24
0,1.0,5,4,57,50,B4,Diesel,12,R24
0,1.0,6,14,53,50,B3,Diesel,1397,R41
0,0.55,6,17,39,50,B2,Regular,65,R53
0,0.78,4,2,27,76,B12,Diesel,4479,R31
0,0.58,5,6,46,50,B3,Diesel,566,R93
0,0.5,6,4,45,66,B12,Diesel,263,R72
0,0.19,4,0,31,64,B12,Regular,56,R82
0,0.57,5,13,49,50,B2,Regular,209,R93
0,1.0,5,5,46,64,B2,Regular,747,R53
0,1.0,6,8,59,50,B1,Regular,283,R25
0,0.18,11,0,51,50,B12,Diesel,595,R93
0,1.0,4,6,31,50,B2,Regular,2103,R25
0,0.12,5,2,45,50,B12,Regular,214,R52
0,0.0054794520547945,10,13,33,93,B1,Regular,220,R24
0,1.0,10,4,40,50,B12,Diesel,8549,R82
0,0.52,8,2,51,50,B12,Regular,228,R25
0,1.0,4,4,27,68,B1,Regular,6729,R11
0,1.0,7,20,61,50,B3,Regular,144,R82
0,0.08,7,9,25,100,B2,Regular,824,R91
0,1.0,4,6,49,50,B2,Regular,3317,R93
0,0.41,9,14,47,50,B14,Regular,15,R93
0,0.04,4,2,57,62,B12,Diesel,9307,R82
0,1.0,12,23,54,50,B10,Diesel,3963,R91
0,0.08,6,1,53,57,B1,Diesel,112,R93
0,0.08,10,13,43,76,B5,Diesel,1326,R93
0,0.46,7,1,47,50,B12,Diesel,27000,R11
0,0.64,12,0,57,50,B12,Diesel,142,R93
0,1.0,7,3,83,50,B1,Regular,15703,R11
0,0.04,4,1,32,72,B12,Diesel,563,R52
0,0.64,6,6,28,54,B2,Diesel,21,R24
0,0.15,10,8,28,85,B12,Regular,533,R93
0,1.0,4,8,81,57,B2,Regular,1268,R82
0,1.0,4,11,43,50,B3,Diesel,204,R53
0,0.32,7,0,46,64,B2,Regular,473,R53
0,0.81,7,7,40,54,B10,Diesel,564,R11
0,0.92,4,1,33,90,B12,Diesel,672,R11
0,1.0,11,1,49,52,B10,Diesel,2252,R82
0,0.32,7,13,32,51,B3,Regular,45,R24
0,0.36,4,2,69,50,B1,Regular,1199,R52
0,0.11,6,11,49,50,B1,Diesel,91,R24
0,1.0,11,4,32,50,B1,Diesel,565,R83
0,0.24,7,6,51,50,B2,Diesel,4059,R23
0,0.08,7,6,39,60,B6,Regular,16284,R11
0,0.42,6,15,30,72,B1,Regular,43,R54
0,0.53,6,16,67,50,B1,Regular,614,R24
0,0.7,9,6,49,50,B12,Regular,88,R91
0,0.28,14,10,21,100,B3,Regular,1326,R93
0,0.08,11,0,58,50,B12,Diesel,1221,R21
0,0.2,7,4,47,50,B12,Diesel,33,R26
0,0.04,8,0,56,50,B12,Regular,445,R83
0,1.0,5,19,54,50,B1,Regular,575,R31
0,0.45,5,8,52,50,B2,Diesel,710,R82
0,1.0,6,13,54,72,B2,Diesel,8455,R82
0,0.3,6,4,29,57,B12,Regular,118,R24
0,0.28,8,4,44,50,B12,Diesel,271,R91
0,0.18,7,0,54,50,B2,Diesel,37,R24
0,0.09,15,5,29,80,B12,Regular,155,R82
0,0.43,4,0,46,60,B2,Regular,6736,R11
0,0.92,5,16,23,76,B2,Regular,27,R24
0,0.25,10,9,44,50,B12,Regular,26,R91
0,0.03,7,3,60,51,B12,Diesel,883,R93
0,0.77,4,1,35,85,B12,Regular,1064,R93
0,1.0,5,8,51,50,B12,Diesel,9307,R82
0,0.24,7,5,39,52,B2,Diesel,116,R82
0,1.0,4,14,59,50,B1,Diesel,26,R24
0,1.0,5,5,43,50,B1,Regular,713,R52
0,0.28,4,1,54,50,B12,Regular,747,R53
1,0.96,5,10,52,50,B2,Diesel,3651,R41
0,0.64,4,11,45,50,B5,Regular,1005,R93
0,0.58,13,15,58,50,B11,Regular,63,R91
0,0.75,13,5,36,72,B10,Regular,3866,R24
0,0.39,7,2,81,50,B12,Regular,354,R11
0,0.05,7,0,41,50,B1,Diesel,632,R24
0,0.58,5,4,52,51,B12,Regular,90,R52
0,0.23,5,12,28,100,B2,Regular,949,R24
0,1.0,5,14,54,50,B2,Regular,57,R24
0,0.49,6,2,40,50,B1,Diesel,490,R52
0,0.08,5,18,34,85,B5,Regular,300,R72
0,0.08,4,16,41,76,B1,Regular,213,R91
0,0.33,8,2,23,100,B12,Diesel,465,R72
0,1.0,4,17,45,50,B2,Regular,481,R82
0,1.0,6,9,48,50,B3,Diesel,8455,R82
0,0.55,7,16,39,50,B2,Regular,754,R24
0,0.41,8,6,64,50,B2,Diesel,108,R53
0,0.21,15,8,19,100,B3,Regular,801,R54
0,1.0,8,2,76,50,B4,Regular,495,R91
2,1.0,6,7,54,50,B1,Diesel,19,R24
0,1.0,6,9,34,60,B1,Regular,1417,R25
0,0.38,7,6,23,85,B6,Regular,1495,R24
0,0.24,4,12,37,51,B3,Diesel,61,R24
0,0.58,6,2,43,50,B1,Diesel,35,R82
0,0.58,4,12,26,68,B2,Diesel,33,R24
0,0.03,6,3,81,50,B12,Regular,4348,R72
0,0.74,10,5,58,50,B12,Regular,3302,R11
0,0.47,5,4,34,50,B3,Diesel,88,R52
0,0.45,9,4,67,50,B12,Regular,168,R94
0,0.25,7,11,26,72,B11,Regular,827,R82
0,0.04,7,2,31,50,B5,Diesel,1408,R52
1,0.43,4,21,31,100,B1,Regular,4762,R93
1,0.29,6,9,48,50,B2,Diesel,105,R24
1,1.0,5,7,29,53,B5,Diesel,1323,R82
0,0.39,9,10,37,78,B11,Regular,6570,R11
0,1.0,4,15,53,50,B14,Regular,1313,R24
0,0.25,10,7,30,60,B12,Diesel,412,R73
0,0.24,5,4,54,50,B3,Regular,1298,R11
0,1.0,12,1,45,50,B11,Diesel,97,R53
0,0.21,6,2,39,50,B2,Diesel,3214,R83
0,0.21,6,7,35,54,B5,Diesel,399,R24
0,0.28,6,4,61,50,B12,Diesel,12374,R11
0,0.13,5,1,25,112,B3,Diesel,916,R31
0,0.5,4,12,66,50,B1,Diesel,11,R24
0,0.51,5,0,42,58,B3,Regular,41,R82
0,0.91,6,7,52,95,B3,Regular,1165,R53
0,0.21,6,6,43,65,B12,Diesel,76,R91
0,1.0,5,2,74,50,B5,Diesel,112,R24
0,1.0,4,1,52,50,B1,Regular,1027,R24
0,0.04,6,0,37,50,B12,Diesel,4218,R11
0,1.0,5,13,61,62,B1,Diesel,269,R91
0,0.07,9,10,22,100,B1,Regular,102,R24
0,0.5,5,5,73,50,B1,Regular,185,R82
0,0.42,8,1,57,88,B12,Regular,41,R73
0,0.45,6,0,72,50,B12,Diesel,8915,R11
0,1.0,8,8,30,76,B1,Diesel,1753,R82
0,1.0,6,14,49,50,B3,Regular,1408,R52
1,0.5,6,9,32,156,B1,Regular,1910,R11
0,0.4,5,7,38,54,B5,Diesel,817,R31
0,0.03,4,0,22,80,B12,Regular,4427,R11
0,0.61,14,26,41,85,B14,Regular,27000,R11
0,0.82,8,12,35,50,B14,Diesel,433,R93
0,0.28,5,4,37,50,B12,Regular,3374,R42
0,0.58,7,6,34,64,B4,Regular,84,R31
0,0.64,7,2,50,50,B12,Diesel,721,R93
0,1.0,4,14,58,50,B1,Regular,3317,R93
0,1.0,15,2,43,50,B11,Regular,1002,R82
0,1.0,4,8,50,50,B2,Diesel,186,R24
0,0.2,5,0,30,68,B2,Regular,3859,R82
0,0.12,7,10,27,68,B2,Diesel,39,R93
0,0.17,8,0,37,50,B12,Diesel,85,R93
1,0.45,7,2,34,54,B12,Diesel,3274,R11
0,1.0,7,5,52,50,B6,Regular,1210,R82
0,0.71,7,0,71,50,B3,Diesel,4116,R24
0,0.35,7,2,37,50,B12,Diesel,917,R72
0,1.0,6,3,33,106,B1,Regular,3019,R73
0,0.05,5,7,65,50,B4,Diesel,741,R24
0,0.37,4,21,47,50,B5,Regular,32,R82
0,0.08,6,7,36,68,B1,Diesel,2575,R52
0,1.0,4,14,20,50,B2,Regular,2212,R82
0,0.16,5,0,52,76,B4,Regular,854,R82
0,0.2,4,2,71,50,B12,Regular,75,R74
0,1.0,5,1,45,60,B3,Regular,8455,R82
0,0.1,4,1,20,125,B12,Regular,27000,R11
0,1.0,7,14,31,51,B3,Regular,81,R24
0,1.0,6,14,58,55,B1,Diesel,3385,R11
0,1.0,8,11,40,50,B3,Regular,32,R24
0,0.41,7,0,64,50,B1,Regular,182,R24
0,0.36,10,12,61,50,B10,Regular,173,R82
0,0.53,10,8,48,50,B12,Diesel,399,R24
0,0.29,7,2,34,51,B2,Regular,721,R93
0,0.15,7,7,63,55,B5,Diesel,59,R72
0,0.17,6,11,25,80,B1,Diesel,1054,R24
0,0.71,5,4,23,85,B12,Regular,27000,R11
0,0.59,4,18,50,50,B1,Regular,60,R54
0,0.49,6,9,33,50,B1,Diesel,29,R73
0,0.05,8,8,53,50,B6,Diesel,115,R24
0,0.06,8,2,32,57,B12,Regular,139,R93
1,1.0,5,11,49,76,B3,Regular,286,R24
0,0.07,6,12,37,64,B1,Diesel,3317,R93
0,0.04,5,2,49,50,B12,Diesel,301,R91
0,0.5,7,21,45,50,B1,Regular,139,R53
0,1.0,7,2,57,50,B4,Regular,679,R72
0,0.54,6,5,49,68,B12,Regular,260,R72
0,0.36,6,2,36,64,B12,Diesel,226,R82
0,0.21,9,4,50,50,B12,Regular,269,R91
0,1.0,7,4,76,73,B2,Regular,16533,R11
0,0.07,6,6,29,80,B12,Diesel,3708,R26
0,0.08,6,16,35,80,B2,Diesel,3301,R73
0,1.0,8,19,64,50,B1,Regular,1602,R53
0,0.53,7,8,25,100,B1,Diesel,1314,R24
0,0.29,6,12,32,68,B2,Diesel,111,R24
0,1.0,4,8,74,50,B2,Regular,41,R24
0,0.49,5,8,37,80,B5,Diesel,4059,R23
0,1.0,4,8,57,50,B5,Regular,229,R53
0,0.01,5,0,79,50,B12,Regular,218,R93
0,1.0,10,14,48,50,B2,Regular,213,R74
0,0.4,6,11,32,100,B1,Diesel,43,R24
0,0.53,6,4,43,50,B1,Diesel,354,R52
0,0.09,7,8,63,95,B2,Diesel,25,R24
0,0.06,5,12,46,50,B2,Regular,3657,R82
0,1.0,5,7,36,50,B3,Regular,1410,R72
0,0.08,4,0,30,85,B12,Regular,10008,R11
1,1.0,8,1,53,50,B6,Diesel,39,R93
0,1.0,5,11,78,50,B1,Regular,803,R54
1,0.34,7,1,53,50,B2,Diesel,52,R54
0,0.5,10,2,48,50,B12,Regular,510,R91
0,0.08,6,3,45,50,B12,Diesel,2257,R72
0,1.0,7,28,39,50,B2,Diesel,56,R24
0,0.0027397260273972,6,5,52,50,B1,Diesel,110,R54
0,1.0,6,13,44,50,B1,Diesel,287,R53
0,0.41,5,10,44,59,B6,Regular,72,R24
0,0.12,10,1,34,55,B12,Regular,2472,R82
1,0.8,7,13,52,50,B1,Regular,96,R24
0,1.0,11,3,52,50,B11,Regular,182,R24
0,0.7,8,0,54,50,B2,Diesel,473,R53
0,0.26,6,7,73,50,B2,Regular,537,R41
0,0.1,7,7,33,85,B3,Regular,856,R24
0,0.34,4,1,62,72,B12,Regular,36,R74
0,0.17,5,4,65,50,B12,Regular,24,R72
0,0.08,6,1,44,50,B2,Diesel,591,R31
0,0.15,15,0,55,50,B3,Regular,167,R52
0,0.09,10,0,38,50,B12,Regular,283,R11
0,1.0,9,26,42,50,B2,Regular,182,R24
0,0.06,10,0,45,50,B12,Regular,15703,R11
0,0.53,4,1,63,50,B12,Regular,1234,R41
0,0.08,5,1,64,50,B5,Diesel,162,R93
0,0.00273224,5,4,79,50,B1,Diesel,44,R24
0,1.0,5,15,53,50,B2,Regular,1313,R24
0,0.03,9,3,71,76,B12,Regular,4650,R11
0,1.0,6,12,40,56,B1,Diesel,1601,R41
0,0.75,7,9,28,57,B1,Diesel,52,R25
0,0.46,5,4,34,64,B2,Diesel,2983,R31
0,0.45,7,28,32,85,B6,Diesel,9307,R82
0,0.31,6,17,37,54,B1,Diesel,745,R82
0,0.03,4,7,54,50,B2,Regular,57,R72
0,0.24,11,1,48,50,B12,Diesel,404,R82
0,1.0,5,8,29,50,B1,Regular,44,R24
0,0.25,7,17,51,50,B1,Regular,134,R91
0,1.0,7,14,66,50,B2,Regular,199,R73
0,1.0,7,2,70,50,B2,Regular,533,R93
0,0.29,5,5,23,100,B2,Diesel,9307,R82
0,0.01,6,0,54,50,B2,Regular,4762,R93
0,1.0,6,6,40,50,B1,Diesel,88,R54
0,1.0,6,12,59,50,B2,Diesel,496,R52
1,1.0,6,9,59,50,B2,Diesel,67,R24
0,0.91,4,8,34,63,B1,Regular,1955,R94
0,1.0,4,11,39,50,B3,Diesel,13,R24
0,0.22,10,13,45,83,B3,Regular,218,R52
0,0.2,7,10,29,95,B3,Regular,27,R24
0,0.02,4,1,64,50,B12,Regular,1929,R11
0,1.0,5,6,53,77,B1,Regular,27000,R11
0,0.6,7,1,50,50,B2,Regular,821,R24
0,0.83,6,2,29,54,B2,Diesel,202,R24
0,1.0,10,2,42,50,B13,Diesel,13,R24
0,0.45,6,2,43,50,B12,Regular,21,R21
0,1.0,7,5,70,50,B2,Regular,57,R24
0,0.5,5,13,37,76,B2,Regular,3317,R93
0,0.36,8,2,58,50,B12,Regular,445,R83
0,0.75,6,19,61,50,B1,Diesel,610,R93
0,0.08,4,10,33,80,B6,Regular,1055,R72
0,0.29,5,15,40,50,B1,Diesel,2715,R93
0,0.09,4,2,34,53,B12,Diesel,101,R72
0,0.08,7,15,54,50,B11,Regular,1629,R93
0,0.72,12,0,53,50,B12,Diesel,75,R91
0,1.0,7,10,79,50,B11,Diesel,46,R82
0,0.91,6,8,33,86,B2,Diesel,86,R24
0,0.59,5,12,48,72,B2,Diesel,312,R24
0,0.11,7,3,33,51,B12,Diesel,81,R31
0,1.0,4,13,31,90,B1,Regular,1054,R24
0,0.74,8,5,36,57,B1,Diesel,930,R22
0,0.2,6,5,68,50,B2,Regular,280,R72
0,0.01,5,3,57,50,B2,Diesel,5,R74
0,0.24,5,4,41,50,B1,Diesel,3963,R91
0,0.27,4,20,55,50,B1,Regular,2201,R11
0,0.12,5,7,46,95,B1,Regular,1326,R93
0,1.0,8,15,37,50,B1,Diesel,20,R24
0,0.5,8,1,50,50,B2,Diesel,187,R82
0,0.98,9,7,43,76,B1,Regular,713,R52
0,1.0,4,5,63,50,B2,Regular,3744,R93
0,0.06,7,7,43,50,B1,Diesel,1466,R31
0,0.18,7,1,45,72,B1,Diesel,4128,R52
0,0.15,7,13,38,50,B2,Regular,98,R24
1,1.0,10,5,67,50,B2,Regular,68,R82
0,0.13,6,8,40,50,B1,Diesel,25,R24
0,0.08,8,3,46,50,B12,Diesel,688,R93
0,0.12,7,1,45,50,B6,Regular,3744,R93
0,0.41,7,13,72,50,B1,Regular,13,R72
0,0.08,6,12,43,50,B14,Regular,288,R43
0,1.0,5,4,47,50,B3,Diesel,81,R24
0,0.15,4,13,23,90,B1,Regular,3991,R21
0,0.28,5,3,42,50,B12,Regular,688,R93
0,0.23,8,13,34,58,B6,Diesel,3339,R11
0,1.0,5,6,64,50,B3,Diesel,152,R53
0,0.12,11,3,35,68,B12,Diesel,41,R93
0,0.42,6,17,31,80,B1,Diesel,117,R82
0,1.0,6,6,67,50,B2,Diesel,522,R52
0,0.33,6,7,28,76,B2,Diesel,151,R24
0,0.2,6,14,40,50,B1,Diesel,405,R24
1,0.2,6,3,30,95,B12,Diesel,861,R72
0,0.33,5,6,35,64,B1,Regular,2472,R82
0,0.98,6,2,61,50,B12,Diesel,106,R11
0,0.33,7,14,57,50,B1,Regular,1182,R82
0,0.07,7,3,58,59,B1,Regular,3859,R82
0,0.02,7,8,53,50,B5,Regular,451,R52
0,1.0,6,9,50,50,B1,Diesel,1165,R53
0,0.92,8,1,33,50,B6,Diesel,40,R24
0,0.05,8,0,50,72,B12,Diesel,317,R82
0,0.08,4,16,40,55,B1,Regular,1765,R31
0,0.73,8,16,31,57,B1,Diesel,22,R24
0,1.0,8,14,52,50,B1,Diesel,93,R23
0,0.03,9,1,61,50,B1,Diesel,49,R24
0,0.07,5,0,41,50,B2,Diesel,27,R24
0,0.35,7,3,61,50,B1,Regular,77,R53
0,0.65,7,5,29,60,B1,Regular,141,R82
0,0.13,6,2,53,50,B12,Diesel,84,R22
0,1.0,4,2,32,50,B6,Regular,3021,R53
0,1.0,7,5,74,50,B1,Regular,9307,R82
0,0.36,10,0,43,54,B12,Diesel,27000,R11
0,0.62,4,4,28,76,B4,Regular,1521,R82
0,0.15,6,6,55,56,B4,Regular,866,R25
0,0.24,4,13,48,57,B4,Regular,2044,R24
0,1.0,7,3,38,50,B3,Diesel,261,R24
0,0.87,15,4,70,52,B12,Diesel,1457,R52
0,1.0,4,4,34,55,B3,Diesel,56,R52
0,0.04,7,6,58,50,B1,Regular,32,R91
0,0.75,6,7,46,50,B3,Diesel,3386,R53
0,0.2,6,0,64,50,B12,Diesel,1699,R91
0,0.48,10,0,43,50,B12,Regular,27000,R11
0,0.49,5,5,24,50,B1,Regular,82,R25
0,0.3,5,15,36,100,B2,Regular,157,R52
0,1.0,4,4,41,55,B1,Regular,23,R53
0,0.07,7,13,77,50,B3,Regular,145,R31
0,0.23,9,11,30,64,B1,Regular,10,R91
0,0.83,6,4,47,50,B12,Diesel,69,R82
0,0.86,6,7,57,50,B2,Regular,1943,R24
0,0.24,5,3,39,50,B5,Regular,14,R24
0,0.61,5,16,18,95,B2,Regular,86,R24
0,0.03,6,9,49,50,B2,Diesel,50,R24
0,0.09,4,5,38,57,B6,Regular,206,R53
0,0.04,7,0,58,64,B12,Diesel,2019,R11
0,0.07,4,3,37,59,B12,Regular,270,R24
0,0.08,6,32,41,50,B14,Regular,157,R82
0,0.02,4,10,24,106,B2,Regular,85,R31
0,0.42,7,3,36,64,B12,Regular,315,R91
0,0.07,7,1,34,50,B2,Regular,245,R93
0,0.26,9,13,50,76,B1,Regular,131,R53
0,0.74,8,5,47,50,B12,Diesel,173,R93
0,0.07,6,11,36,60,B2,Diesel,483,R91
0,0.08,5,18,34,85,B2,Regular,1326,R93
0,0.24,6,6,63,50,B1,Diesel,405,R24
0,1.0,5,5,36,71,B1,Regular,634,R53
0,0.45,7,1,36,50,B12,Diesel,185,R91
0,0.08,7,0,31,54,B1,Regular,3132,R11
0,0.13,7,12,25,95,B2,Regular,194,R82
0,0.46,5,15,55,50,B1,Regular,5460,R11
0,0.07,5,10,36,57,B2,Regular,61,R26
0,0.05,9,0,58,62,B12,Regular,16291,R11
1,0.5,8,6,64,62,B10,Diesel,66,R93
0,1.0,4,10,79,50,B2,Regular,658,R93
0,0.52,4,5,53,50,B12,Regular,3386,R11
0,0.12,8,15,39,50,B6,Diesel,4762,R93
1,1.0,5,2,47,50,B13,Regular,3386,R53
0,0.02,5,3,71,50,B12,Regular,458,R93
0,0.08,6,3,33,60,B1,Diesel,501,R91
0,1.0,10,11,61,50,B10,Regular,1753,R82
0,1.0,5,8,33,54,B1,Regular,84,R24
0,1.0,5,18,68,50,B2,Regular,149,R24
0,1.0,4,2,73,50,B1,Regular,25,R24
1,0.12,5,0,30,54,B12,Regular,5433,R93
0,0.67,4,17,38,50,B2,Regular,38,R54
0,0.18,7,7,33,60,B4,Diesel,8549,R82
0,0.91,7,1,33,64,B1,Regular,745,R82
0,0.55,9,12,21,95,B3,Regular,107,R72
0,0.08,10,1,46,50,B12,Regular,876,R23
0,0.02,7,6,50,50,B1,Diesel,1521,R82
0,1.0,5,5,51,50,B3,Diesel,817,R31
0,0.0027322404371584,6,0,54,50,B12,Regular,127,R72
0,0.08,6,10,29,72,B2,Diesel,217,R91
0,0.58,10,9,30,76,B2,Regular,1662,R11
0,0.26,6,10,50,50,B2,Diesel,50,R24
0,1.0,5,13,91,50,B1,Regular,115,R82
1,1.0,5,5,30,72,B2,Diesel,3386,R53
0,0.49,6,13,31,57,B3,Regular,43,R54
0,0.46,6,7,34,51,B3,Diesel,295,R24
0,0.06,12,4,34,78,B11,Regular,4116,R24
0,0.8,6,1,49,50,B12,Regular,800,R72
0,1.0,5,8,53,50,B1,Regular,3386,R53
0,0.45,7,2,56,50,B12,Regular,3744,R93
2,0.28,6,1,48,50,B12,Regular,175,R72
0,0.08,7,14,45,50,B4,Regular,2699,R11
0,1.0,7,4,43,50,B1,Diesel,56,R82
0,0.29,6,6,21,90,B1,Diesel,4128,R52
0,1.0,6,9,35,50,B1,Diesel,1054,R24
0,0.49,6,10,34,68,B1,Diesel,583,R93
